X,Y
-7.16, 2.87
-7.01, 2.89
-6.82, 2.92
-6.73, 3.14
-6.63, 3.38
-6.52, 3.64
-6.63, 3.38
-6.73, 3.15
-6.83, 2.92
-6.70, 2.94
-6.53, 2.99
-6.34, 3.06
-6.16, 3.15
-5.95, 3.23
-5.76, 3.33
-5.63, 3.41
-5.51, 3.48
-5.68, 3.57
-5.87, 3.67
-6.03, 3.76
-5.86, 3.67
-5.68, 3.58
-5.51, 3.48
-5.42, 3.53
-5.35, 3.59
-5.32, 3.75
-5.29, 4.01
-5.26, 4.18
-5.22, 4.38
-5.21, 4.52
-5.22, 4.39
-5.26, 4.19
-5.29, 4.02
-5.33, 3.75
-5.35, 3.58
-5.37, 3.41
-5.39, 3.27
-5.41, 3.11
-5.44, 2.98
-5.56, 2.83
-5.68, 2.70
-5.79, 2.56
-5.91, 2.44
-6.05, 2.29
-6.14, 2.16
-6.24, 2.05
-6.33, 1.94
-6.25, 2.17
-6.18, 2.43
-6.12, 2.63
-6.05, 2.90
-5.99, 3.09
-5.95, 3.23
-6.00, 3.10
-6.05, 2.91
-6.13, 2.63
-6.19, 2.44
-6.26, 2.17
-6.33, 1.95
-6.41, 2.16
-6.50, 2.42
-6.58, 2.61
-6.69, 2.82
-6.73, 2.94
-6.70, 2.82
-6.60, 2.60
-6.52, 2.42
-6.42, 2.15
-6.32, 1.94
-6.49, 1.93
-6.69, 1.90
-6.87, 1.86
-7.03, 1.85
-7.16, 1.83
-7.16, 2.06
-7.16, 2.32
-7.16, 2.59
-7.16, 2.87
